EmployeeID,age,department,seniority,tenure,monthly_income,satisfaction_score,work_life_balance,overtime,commute_distance,promotion_last_5yrs,performance_score,trg_hrs_last_year,attrition,attrition_probability,risk_category
EMP0000,42,Sales,3,9,9866,4,1,No,24.5,Yes,4,19,0,0.4683692323471361,Medium Risk
EMP0001,36,Sales,3,7,8958,3,3,No,10.0,No,2,13,0,0.41060918529000157,Medium Risk
EMP0002,44,Sales,4,16,11716,4,3,No,4.0,No,4,13,0,0.2660205768995176,Low Risk
EMP0003,53,Finance,4,30,17061,5,3,No,7.1,No,3,20,0,0.21058775530161247,Low Risk
EMP0004,35,HR,2,4,5738,2,3,No,8.4,No,2,15,0,0.4015936118171823,Medium Risk
EMP0005,35,Sales,1,1,3839,2,3,No,3.1,No,2,18,0,0.5585992730792938,Medium Risk
EMP0006,53,IT,4,31,17377,3,3,No,8.9,No,4,18,0,0.3045573380927698,Medium Risk
EMP0007,45,Finance,2,5,8463,4,3,No,17.6,No,2,8,0,0.39884048461398375,Medium Risk
EMP0008,33,HR,2,8,6956,5,3,No,3.6,No,2,7,0,0.22331382380230447,Low Risk
EMP0009,43,Engineering,2,4,9383,1,3,Yes,8.6,No,3,10,0,0.7404338415587597,High Risk
EMP0010,33,Finance,2,3,8594,4,3,No,4.5,No,2,13,0,0.3770737461807184,Medium Risk
EMP0011,33,Engineering,1,1,5517,2,2,No,8.2,No,3,23,1,0.6174112164474813,High Risk
EMP0012,40,Finance,3,11,10530,4,1,No,8.6,No,3,18,0,0.4253856583685833,Medium Risk
EMP0013,22,Finance,1,0,5729,3,2,Yes,4.0,No,3,18,0,0.6803624838983404,High Risk
EMP0014,22,Sales,1,0,4524,1,3,No,6.1,No,3,15,0,0.5970582068854029,Medium Risk
EMP0015,32,IT,2,2,8191,2,3,No,12.5,No,2,13,0,0.5243922600648769,Medium Risk
EMP0016,27,HR,2,5,6277,3,3,Yes,11.5,Yes,2,19,1,0.47211991343975956,Medium Risk
EMP0017,41,Engineering,4,13,14731,5,4,Yes,3.3,No,2,13,0,0.35757895515822125,Medium Risk
EMP0018,28,IT,2,4,9583,2,3,Yes,8.1,No,3,19,0,0.6862147339177805,High Risk
EMP0019,23,Engineering,1,0,4994,3,2,Yes,6.5,Yes,3,20,0,0.6542349456900335,High Risk
EMP0020,52,Finance,4,25,16061,5,2,No,5.4,No,1,14,0,0.27338917641289173,Low Risk
EMP0021,35,Finance,3,13,11207,3,1,No,5.5,No,3,17,0,0.4602566534275361,Medium Risk
EMP0022,38,Sales,2,2,6269,3,2,No,11.3,No,2,14,0,0.5435200373203446,Medium Risk
EMP0023,23,IT,1,1,5730,4,2,No,3.9,Yes,3,9,1,0.4083955770825348,Medium Risk
EMP0024,32,HR,3,6,7609,3,2,No,19.2,No,1,14,0,0.37686344810386135,Medium Risk
EMP0025,39,Engineering,4,14,15186,5,4,No,6.1,No,2,15,0,0.21989823467604808,Low Risk
EMP0026,26,IT,2,4,7405,1,3,No,14.5,No,3,9,0,0.5238777383405023,Medium Risk
EMP0027,41,HR,3,5,7183,5,3,Yes,14.7,Yes,2,12,0,0.33095631628778904,Medium Risk
EMP0028,31,Finance,1,0,4572,2,3,No,2.3,No,3,11,0,0.48813142016942596,Medium Risk
EMP0029,35,Operations,2,3,5719,3,3,No,12.7,No,3,12,0,0.4626684599544404,Medium Risk
EMP0030,31,Sales,2,5,6652,4,1,No,14.9,No,3,15,0,0.5161605609344657,Medium Risk
EMP0031,56,Sales,3,31,12746,3,4,Yes,6.0,No,2,20,0,0.4533578326448443,Medium Risk
EMP0032,37,Sales,3,10,9278,3,2,No,5.1,Yes,3,15,0,0.39860748396331064,Medium Risk
EMP0033,27,Operations,2,5,6195,5,4,No,33.5,No,2,9,0,0.31251358559489045,Medium Risk
EMP0034,46,Sales,4,13,11588,3,3,No,15.9,No,3,14,0,0.36761959222093477,Medium Risk
EMP0035,25,Engineering,2,2,8350,3,2,No,3.5,No,3,20,0,0.5018530374192358,Medium Risk
EMP0036,40,Engineering,4,11,14664,4,2,No,7.3,No,2,9,0,0.37625409071483923,Medium Risk
EMP0037,22,Engineering,1,0,5832,2,3,Yes,3.7,No,2,12,0,0.6901978179384479,High Risk
EMP0038,24,Finance,2,2,7610,3,2,No,8.0,No,2,19,0,0.4839394027153662,Medium Risk
