age,seniority,tenure,monthly_income,satisfaction_score,work_life_balance,overtime,commute_distance,promotion_last_5yrs,performance_score,trg_hrs_last_year,attrition,department_Engineering,department_Finance,department_HR,department_IT,department_Marketing,department_Operations,department_Sales
42,3,9,9866,4,1,0,24.5,1,4,19,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,3,7,8958,3,3,0,10.0,0,2,13,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,4,16,11716,4,3,0,4.0,0,4,13,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,4,30,17061,5,3,0,7.1,0,3,20,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,2,4,5738,2,3,0,8.4,0,2,15,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,1,1,3839,2,3,0,3.1,0,2,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,4,31,17377,3,3,0,8.9,0,4,18,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,2,5,8463,4,3,0,17.6,0,2,8,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,2,8,6956,5,3,0,3.6,0,2,7,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,2,4,9383,1,3,1,8.6,0,3,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2,3,8594,4,3,0,4.5,0,2,13,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,1,1,5517,2,2,0,8.2,0,3,23,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,3,11,10530,4,1,0,8.6,0,3,18,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,1,0,5729,3,2,1,4.0,0,3,18,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,1,0,4524,1,3,0,6.1,0,3,15,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,2,2,8191,2,3,0,12.5,0,2,13,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,2,5,6277,3,3,1,11.5,1,2,19,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,4,13,14731,5,4,1,3.3,0,2,13,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2,4,9583,2,3,1,8.1,0,3,19,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,1,0,4994,3,2,1,6.5,1,3,20,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,4,25,16061,5,2,0,5.4,0,1,14,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,3,13,11207,3,1,0,5.5,0,3,17,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,2,2,6269,3,2,0,11.3,0,2,14,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,1,1,5730,4,2,0,3.9,1,3,9,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,3,6,7609,3,2,0,19.2,0,1,14,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,4,14,15186,5,4,0,6.1,0,2,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2,4,7405,1,3,0,14.5,0,3,9,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,3,5,7183,5,3,1,14.7,1,2,12,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31,1,0,4572,2,3,0,2.3,0,3,11,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,2,3,5719,3,3,0,12.7,0,3,12,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31,2,5,6652,4,1,0,14.9,0,3,15,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,3,31,12746,3,4,1,6.0,0,2,20,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,3,10,9278,3,2,0,5.1,1,3,15,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,2,5,6195,5,4,0,33.5,0,2,9,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,4,13,11588,3,3,0,15.9,0,3,14,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,2,2,8350,3,2,0,3.5,0,3,20,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,4,11,14664,4,2,0,7.3,0,2,9,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1,0,5832,2,3,1,3.7,0,2,12,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2,2,7610,3,2,0,8.0,0,2,19,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,3,9,11002,3,3,1,10.6,1,2,16,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,2,5,9125,3,2,0,6.3,0,3,8,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,3,8,12417,1,3,0,16.2,0,2,13,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1,1,3819,5,3,0,8.0,0,1,12,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,2,3,8795,4,2,1,8.1,0,3,13,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1,0,5578,5,2,0,34.4,0,2,14,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
